date,apple,pen
2006-01-01,33271.0,2574.0
2006-01-02,31409.0,2431.0
2006-01-03,29529.0,2260.0
2006-01-04,27732.0,2107.0
2006-01-05,25790.0,1974.0
2006-01-06,23892.0,1825.0
2006-01-07,21997.0,1687.0
2006-01-08,20161.0,1567.0
2006-01-09,18293.0,1442.0
2006-01-10,16414.0,1286.0
2006-01-11,14618.0,1135.0
2006-01-12,12703.0,995.0
2006-01-13,10783.0,859.0
2006-01-14,8911.0,698.0
2006-01-15,42091.0,3179.0
2006-01-16,40197.0,3019.0
2006-01-17,38289.0,2877.0
2006-01-18,36449.0,2727.0
2006-01-19,34477.0,2581.0
2006-01-20,32616.0,2435.0
2006-01-21,30793.0,2303.0
2006-01-22,28883.0,2151.0
2006-01-23,27049.0,2000.0
2006-01-24,25200.0,1842.0
2006-01-25,23273.0,1676.0
2006-01-26,21391.0,1520.0
2006-01-27,19594.0,1395.0
2006-01-28,17746.0,1236.0
2006-01-29,15872.0,1108.0
2006-01-30,13994.0,968.0
2006-01-31,12167.0,822.0
2006-02-01,45346.0,3424.0
2006-02-02,43462.0,3295.0
2006-02-03,41643.0,3164.0
2006-02-04,39791.0,3026.0
2006-02-05,37928.0,2871.0
2006-02-06,36078.0,2712.0
2006-02-07,34284.0,2563.0
2006-02-08,32411.0,2426.0
2006-02-09,30527.0,2287.0
2006-02-10,28632.0,2144.0
2006-02-11,26743.0,2005.0
2006-02-12,24921.0,1863.0
2006-02-13,23068.0,1707.0
2006-02-14,21159.0,1558.0
2006-02-15,54183.0,4119.0
2006-02-16,52287.0,3977.0
2006-02-17,50314.0,3847.0
2006-02-18,48566.0,3706.0
2006-02-19,46754.0,3565.0
2006-02-20,44843.0,3429.0
2006-02-21,43012.0,3289.0
2006-02-22,41169.0,3152.0
2006-02-23,39224.0,3018.0
2006-02-24,37361.0,2865.0
2006-02-25,35535.0,2710.0
2006-02-26,33692.0,2557.0
2006-02-27,31763.0,2422.0
2006-02-28,29875.0,2297.0
2006-03-01,63194.0,4771.0
2006-03-02,61330.0,4601.0
2006-03-03,59472.0,4445.0
2006-03-04,57590.0,4303.0
2006-03-05,55746.0,4159.0
2006-03-06,53927.0,4032.0
2006-03-07,52065.0,3900.0
2006-03-08,50169.0,3757.0
2006-03-09,48337.0,3635.0
2006-03-10,46538.0,3499.0
2006-03-11,44678.0,3358.0
2006-03-12,42839.0,3233.0
2006-03-13,40931.0,3076.0
2006-03-14,39077.0,2941.0
2006-03-15,72397.0,5614.0
2006-03-16,70503.0,5459.0
2006-03-17,68644.0,5315.0
2006-03-18,66788.0,5172.0
2006-03-19,64924.0,5024.0
2006-03-20,63041.0,4899.0
2006-03-21,61174.0,4758.0
2006-03-22,59297.0,4608.0
2006-03-23,57315.0,4446.0
2006-03-24,55428.0,4328.0
2006-03-25,53507.0,4179.0
2006-03-26,51582.0,4045.0
2006-03-27,49702.0,3900.0
2006-03-28,47866.0,3757.0
2006-03-29,45973.0,3618.0
2006-03-30,44069.0,3474.0
2006-03-31,42158.0,3340.0
2006-04-01,74941.0,5862.0
2006-04-02,73059.0,5715.0
2006-04-03,71244.0,5571.0
2006-04-04,69360.0,5414.0
2006-04-05,67498.0,5266.0
2006-04-06,65646.0,5137.0
2006-04-07,63768.0,4994.0
2006-04-08,61934.0,4833.0
2006-04-09,60019.0,4675.0
2006-04-10,58178.0,4515.0
2006-04-11,56315.0,4351.0
2006-04-12,54510.0,4208.0
2006-04-13,52664.0,4092.0
2006-04-14,50730.0,3938.0
2006-04-15,83396.0,6397.0
2006-04-16,81503.0,6243.0
2006-04-17,79636.0,6104.0
2006-04-18,77796.0,5950.0
2006-04-19,75947.0,5788.0
2006-04-20,74083.0,5636.0
2006-04-21,72177.0,5484.0
2006-04-22,70229.0,5338.0
2006-04-23,68329.0,5185.0
2006-04-24,66471.0,5049.0
2006-04-25,64654.0,4899.0
2006-04-26,62740.0,4748.0
2006-04-27,60821.0,4594.0
2006-04-28,58984.0,4436.0
2006-04-29,57150.0,4286.0
2006-04-30,55264.0,4131.0
2006-05-01,88247.0,6680.0
2006-05-02,86369.0,6512.0
2006-05-03,84496.0,6379.0
2006-05-04,82694.0,6230.0
2006-05-05,80872.0,6085.0
2006-05-06,79014.0,5943.0
2006-05-07,77135.0,5797.0
2006-05-08,75276.0,5652.0
2006-05-09,73430.0,5497.0
2006-05-10,71526.0,5368.0
2006-05-11,69676.0,5222.0
2006-05-12,67831.0,5077.0
2006-05-13,65947.0,4921.0
2006-05-14,64071.0,4804.0
2006-05-15,97035.0,7467.0
2006-05-16,95175.0,7311.0
2006-05-17,93303.0,7175.0
2006-05-18,91433.0,7051.0
2006-05-19,89596.0,6897.0
2006-05-20,87749.0,6753.0
2006-05-21,85899.0,6625.0
2006-05-22,84051.0,6492.0
2006-05-23,82171.0,6345.0
2006-05-24,80236.0,6197.0
2006-05-25,78326.0,6067.0
2006-05-26,76494.0,5922.0
2006-05-27,74569.0,5788.0
2006-05-28,72698.0,5647.0
2006-05-29,70819.0,5495.0
2006-05-30,68942.0,5344.0
2006-05-31,67000.0,5196.0
2006-06-01,100031.0,7752.0
2006-06-02,98112.0,7606.0
2006-06-03,96157.0,7461.0
2006-06-04,94322.0,7314.0
2006-06-05,92438.0,7186.0
2006-06-06,90596.0,7035.0
2006-06-07,88796.0,6893.0
2006-06-08,86971.0,6777.0
2006-06-09,85142.0,6646.0
2006-06-10,83276.0,6500.0
2006-06-11,81392.0,6368.0
2006-06-12,79615.0,6250.0
2006-06-13,77764.0,6103.0
2006-06-14,75925.0,5986.0
2006-06-15,109051.0,8548.0
2006-06-16,107219.0,8404.0
2006-06-17,105336.0,8263.0
2006-06-18,103451.0,8126.0
2006-06-19,101642.0,7973.0
2006-06-20,99764.0,7820.0
2006-06-21,97856.0,7688.0
2006-06-22,96029.0,7532.0
2006-06-23,94095.0,7387.0
2006-06-24,92179.0,7263.0
2006-06-25,90312.0,7109.0
